quote,entry,rating
The perfect meal,"Recently went to Bayleaf with a few friends for a catch up, and to try the new 'Indian' in the area. Having tried quite a few other Indian restaurants, I have to say this far surpasses all of the others. From the moment I stepped...More",5
Fabulous food but deafening,"The food is probably the best Indian food I have ever had (followed, in second place by the Bayleaf takeaway!) 
Personally, we find the service a bit over attentive and irritating.
The thing that ruins it for us is the deafening noise - the acoustics...More",4
Enjoyable experience ,"We went to Bayleaf Restaurant for a family birthday celebration having enjoyed their takeaway meals for many years. 
We were not disappointed and found excellent food and ambience as well as attentive but at the same time unobtrusive service and attention to detail. 
Bayleaf Restaurant...More",5
Simply the best,"I have been a customer of the Bayleaf Takeaway for most of its 19 years in Whetstone and have always rated it very highly. So when the same people opened a restaurant a few doors down the road, I was interested to see how good...More",5
Sophisticated,We went for the 2 course lunch special. It looked beautiful and tasted superb and the portions were of a good size. The service was both courteous and friendly. The restaurant is spotless. If you can manage to stick to the two courses the price...More,5
Brilliant service,"The restaurant itself is beautiful and modern. The food is good quality, but the portions are on the small side and the dishes are quite pricey- good if you don't have a huge appetite (I was fine, my boyfriend still a tad hungry after).

The...More",4
"Bayleaf Restaurant, Whetstone, London N20 9HH","The Bayleaf Restaurant in Whetstone, North London is one of the best Indian restaurants I have been to. The menu is not as extensive as many Indian restaurants, but what it lacks in quantity it makes up in quality. All the dishes have their own...More",4
"''Stylish, Contemporary, Exeptional food and 1st class service''",We've been to this newly opened Restuarant on last Saturday and my word it was a great experience. The place was full and the atmosphere was buzzing. Not only the food tasted fresh it was also presented very well (just to name 2 we ate)...More,5
5* Dining,"I recently dined at the restaurant for my birthday. Having thoroughly enjoyed the food from the award-winning takeaway, I was especially excited at the prospect of eating at the restaurant. Only last week I dined at the well-renowned Tayyabs in Whitechapel and I can say...More",5
Bay leaf a must.,"Have had many different Indian eating experiences. Often authentic,ie green street london.  But the bay leaf excelled. Very warm welcome, looked after us all evening. Wonderful food. Will be our treat meal when we dine out.  Thanks to all at the restaurant.jeff branchMore",5
